0x803d30,Name value,Description value,Character Number,Class (support viewer only),Portrait (Zero is Default),Mini Portrait (Zero is Default),Affinity,Units Screen Priority,Level,Base HP,Base Strength/Magic,Base Skill,Base Speed,Base Defense,Base Magic Defense,Base Luck,Constitution Bonus,Sword Level,Spear Level,Axe Level,Bow Level,Staff Level,Anima Level,Light Level,Dark Level,HP Growth,Strength/Magic Growth,Skill Growth,Speed Growth,Defense Growth,Magic Defense Growth,Luck Growth,***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),Character Ability 1,Character Ability 2,Character Ability 3,Character Ability 4,Supports Data Pointer,***UNKNOWN***,***UNKNOWN*** (Zero),***UNKNOWN*** (Zero),***UNKNOWN*** (Zero)
None,0x0,0x19,0x1b,0x0,0x1d,0x1f,0,0x0,33,0,35,0,37,0,39,0,0,41,0,43,0,45,0,47,0,0,49,0,51,0,5,4,0x2,0x4,0x1c,0x3,0x0,0x7,0xf0,0x1,0xf0,0x3018001,0x4,0x0,0x0,0x0
Marth,0x212,0x26e,0x1,Lord,0x2,0x0,6,0x1,3,4,3,5,5,1,0,8,0,71,0,0,0,0,0,0,0,90,50,40,50,20,3,70,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,UnlockRapierExcalibur,0x88aebac,0x7,0x0,0x0,0x0
Arran,0x213,0x26f,0x2,Paladin,0x4,0x0,7,0x3,3,0,1,3,4,2,0,4,0,31,181,0,0,0,0,0,0,10,10,10,10,10,3,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebdc,0x3,0x0,0x0,0x0
Doga,0x214,0x270,0x3,ArmourKnight,0x5,0x0,2,0x7,6,4,2,2,4,0,0,2,1,0,71,0,0,0,0,0,0,60,20,40,40,10,3,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec0c,0x4,0x0,0x0,0x0
Gordon,0x215,0x271,0x4,Archer,0x6,0x0,6,0x6,5,5,2,4,2,2,0,5,0,0,0,0,71,0,0,0,0,40,30,30,30,10,3,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebf4,0x3,0x0,0x0,0x0
Ryan,0x216,0x272,0x5,Archer,0x7,0x0,7,0x8,1,2,0,1,0,0,0,3,4,0,0,0,31,0,0,0,0,60,40,70,40,20,3,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec24,0x4,0x0,0x0,0x0
Luke,0x217,0x273,0x6,Cavalier,0x8,0x0,7,0x9,2,2,1,3,3,1,0,4,0,0,31,0,0,0,0,0,0,90,30,30,40,20,3,10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec3c,0xa,0x0,0x0,0x0
Rody,0x218,0x274,0x7,Cavalier,0x9,0x0,1,0xa,1,2,0,3,2,0,0,5,0,0,31,0,0,0,0,0,0,70,40,50,50,20,3,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec6c,0x5,0x0,0x0,0x0
Cecil,0x219,0x275,0x8,Cavalier_F,0xa,0x0,1,0xb,3,1,2,4,5,1,0,6,0,31,0,0,0,0,0,0,0,50,30,60,60,10,3,30,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x88aec9c,0x7,0x0,0x0,0x0
Malliesia,0x21a,0x276,0x9,Cleric,0xc,0x0,6,0xc,1,0,0,0,1,0,0,12,0,0,0,0,0,51,0,0,0,40,30,20,50,10,3,30,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,UnlockHammerne,0x88aec84,0x0,0x0,0x0,0x0
Katua,0x21b,0x277,0xa,PegasusKnight,0xe,0x0,1,0xd,6,8,2,3,7,2,0,9,3,0,71,0,0,0,0,0,0,70,40,80,80,20,3,40,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,TriangleAttack,0x0,0x88aec54,0x1,0x0,0x0,0x0
Warren,0x21c,0x278,0xb,Hunter,0xf,0x0,4,0x14,2,4,1,1,0,0,0,1,1,0,0,0,31,0,0,0,0,70,50,50,10,20,3,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed5c,0x0,0x0,0x0,0x0
Linda,0x21d,0x279,0xc,Mage_F,0x10,0x0,7,0xf,4,4,1,3,5,1,0,8,0,0,0,0,0,0,71,71,0,40,20,70,60,10,3,80,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,UnlockAura,0x88aeccc,0x7,0x0,0x0,0x0
Paola,0x21e,0x27a,0xd,PegasusKnight,0x11,0x0,4,0x10,10,8,5,6,9,3,0,9,0,0,181,0,0,0,0,0,0,70,50,80,20,20,3,10,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,TriangleAttack,0x0,0x88aece4,0xa,0x0,0x0,0x0
Julian,0x21f,0x27b,0xe,Thief,0x13,0x0,1,0x1f,6,4,5,7,7,5,0,7,1,31,0,0,0,0,0,0,0,80,70,50,50,30,3,80,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee1c,0x0,0x0,0x0,0x0
Machis,0x220,0x27c,0xf,Cavalier,0x14,0x0,1,0x1,4,3,2,1,3,3,0,1,0,0,31,0,0,0,0,0,0,50,40,30,20,20,3,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebc4,0x3,0x0,0x0,0x0
Oguma,0x221,0x27d,0x10,Mercenary,0x16,0x0,3,0x5,7,9,4,6,4,3,0,5,0,121,0,0,0,0,0,0,0,80,40,30,30,30,3,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed2c,0x3,0x0,0x0,0x0
Yumina,0x222,0x27e,0x11,Cleric,0x18,0x0,4,0x4,2,0,1,0,4,1,0,9,1,0,0,0,0,31,0,0,0,30,20,30,40,10,3,40,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,UnlockRescue,0x88aed14,0x3,0x0,0x0,0x0
Yubello,0x223,0x27f,0x12,Mage,0x19,0x0,2,0x13,1,2,0,0,3,1,0,5,0,0,0,0,0,0,1,0,0,50,50,30,40,10,3,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee34,0x7,0x0,0x0,0x0
Sirius,0x224,0x280,0x13,Paladin,0x1a,0x0,4,0xe,4,4,4,5,6,3,0,1,0,71,181,0,0,0,0,0,0,80,50,50,40,30,3,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aecb4,0x0,0x0,0x0,0x0
Kashim,0x225,0x281,0x14,Hunter,0x1b,0x0,2,0x15,7,4,4,3,2,2,0,4,4,0,0,0,71,0,0,0,0,70,60,40,40,20,3,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aed74,0x4,0x0,0x0,0x0
Sheeda,0x226,0x282,0x15,PegasusKnight,0x1c,0x0,1,0x16,4,3,1,2,8,1,0,13,1,0,71,0,0,0,0,0,0,50,20,70,90,20,3,70,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,UnlockAura,0x88aed8c,0x7,0x0,0x0,0x0
Ricardo,0x227,0x283,0x16,Thief,0x1e,0x0,4,0x17,3,2,4,2,2,2,0,1,0,0,0,0,0,0,0,0,0,50,50,20,60,20,3,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aeda4,0xc,0x0,0x0,0x0
Samto,0x228,0x284,0x17,Mercenary,0x20,0x0,3,0x18,5,6,2,2,1,2,0,3,1,71,0,0,0,0,0,0,0,70,20,20,60,10,3,10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aedbc,0x6,0x0,0x0,0x0
Wendel,0x229,0x285,0x18,Bishop,0x21,0x0,6,0x19,7,4,2,3,9,3,0,4,0,0,0,0,0,71,121,0,0,60,10,30,20,10,3,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aedd4,0x5,0x0,0x0,0x0
Navarre,0x22a,0x286,0x19,Mercenary,0x22,0x0,6,0x1b,8,7,5,8,6,3,0,7,0,121,0,0,0,0,0,0,0,90,50,40,50,20,3,60,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aedec,0xb,0x0,0x0,0x0
Feena,0x22b,0x287,0x1a,Dancer,0x23,0x0,2,0x1c,1,0,0,6,2,1,0,8,3,1,0,0,0,0,0,0,0,40,60,70,80,20,3,70,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x88aee04,0x4,0x0,0x0,0x0
Kain,0x22c,KainDesc,0x1b,Cavalier,0x1f,0x0,1,0x0,9,8,5,6,5,4,0,4,0,71,31,0,0,0,0,0,0,90,30,60,60,20,3,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Banutu,0x22d,0x288,0x1c,Mamkute,0x24,0x0,5,0x1d,3,6,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,UseMonsterWeapons,0x0,0x88aee4c,0x0,0x0,0x0,0x0
George,0x22e,0x289,0x1d,Sniper,0x25,0x0,7,0x1e,5,3,3,3,4,3,0,4,2,0,0,0,251,0,0,0,0,60,20,10,20,10,3,10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aee64,0x4,0x0,0x0,0x0
Minerva,0x22f,0x28a,0x1e,DragonKnight,0x26,0x0,3,0x22,8,5,5,4,8,6,0,7,0,31,181,0,0,0,0,0,0,40,30,50,40,20,3,40,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x88aee7c,0xc,0x0,0x0,0x0
Marich,0x230,0x28b,0x1f,Mage,0x29,0x0,5,0x20,10,6,4,5,7,5,0,6,0,0,0,0,0,0,121,0,0,80,20,50,50,20,3,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,UnlockRapierExcalibur,0x88aee94,0x3,0x0,0x0,0x0
Ellerean,0x231,0x28c,0x20,Mage,0x2a,0x0,3,0x11,10,6,4,5,7,5,0,6,0,0,0,0,0,0,121,0,0,90,10,30,40,30,3,10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aecfc,0x3,0x0,0x0,0x0
Chainy,0x232,0x28d,0x21,0x49,0x2b,0x0,2,0x23,5,7,6,6,8,5,0,12,1,71,0,0,0,0,0,0,0,50,30,10,40,20,3,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x88aeeac,0xa,0x0,0x0,0x0
Chiki,0x233,0x28e,0x22,Mamkute_2_F,0x2c,0x0,3,0x12,6,6,6,6,4,3,0,13,0,0,0,0,0,0,0,0,0,80,40,30,60,0,3,60,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,UseMonsterWeapons,0x0,0x88aed44,0xa,0x0,0x0,0x0
Abel,0x234,AbelDesc,0x23,Paladin,0x46,0x0,4,0x24,1,6,6,9,8,6,0,5,0,31,121,0,0,0,0,0,0,70,40,50,50,20,3,40,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Est,0x236,EstDesc,0x24,PegasusKnight,0x45,0x0,5,0x28,5,4,1,2,6,2,0,11,1,0,71,0,0,0,0,0,0,50,70,70,70,20,3,60,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,TriangleAttack,0x0,0x0,0x0,0x0,0x0,0x0
Astria,0x24a,AstriaDesc,0x25,Hero,0x4b,0x0,3,0x27,5,6,5,6,5,4,0,5,1,251,0,0,0,0,0,0,0,90,50,40,20,10,3,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Samson,0x238,SamsonDesc,0x26,Hero,0x3f,0x0,2,0x26,5,6,6,6,7,4,0,7,0,181,0,0,0,0,0,0,0,70,30,10,20,20,3,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Sheema,0x237,SheemaDesc,0x27,General_F,0x42,0x0,4,0x29,1,-2,0,0,2,2,0,4,1,0,121,0,0,0,0,0,0,60,60,70,50,20,3,60,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Roshe,0x246,RosheDesc,0x28,Paladin,0x48,0x0,5,0x2b,8,14,5,3,3,3,0,3,0,71,181,0,0,0,0,0,0,80,40,50,40,30,3,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Midia,0x244,MidiaDesc,0x29,Paladin_F,0x43,0x0,2,0x2a,16,5,8,11,6,9,0,7,2,71,181,0,0,0,0,0,0,80,30,50,50,20,3,10,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Rena,0x25b,RenaDesc,0x2a,Bishop_F,0x51,0x0,1,0x2c,7,0,3,3,8,4,0,10,3,0,0,0,0,251,181,0,0,10,10,10,20,10,3,40,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,UnlockHammerne,0x0,0x0,0x0,0x0,0x0
Maria,0x260,MariaDesc,0x2b,Bishop_F,0x56,0x0,3,0x2e,1,-1,0,0,0,1,0,8,0,0,0,0,0,121,181,0,0,10,10,10,20,10,3,30,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Nina,0x25c,NinaDesc,0x2c,Bishop_F,0x52,0x0,7,0x2d,3,16,10,8,8,6,0,17,1,0,0,0,0,71,181,0,0,10,10,10,10,10,3,10,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Ellis,0x266,EllisDesc,0x2d,Bishop_F,0x4f,0x0,0,0x0,5,0,0,0,0,0,0,0,0,0,0,0,0,181,181,0,0,10,10,50,60,10,3,80,0x0,0x0,0x0,0x0,0x0,0x0,IsFemale,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Bandit Generic,0x24f,0x0,0x2e,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Lawrence,0x235,LawrenceDesc,0x2f,0x41,0x31,0x0,0,0x0,1,9,3,3,2,2,0,1,0,0,181,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Rumel,0x239,RumelDesc,0x30,0x41,0x0,0x0,0,0x0,3,11,2,1,1,4,0,0,0,0,71,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Ryuke,0x23a,RyukeDesc,0x31,0x41,0x0,0x0,0,0x0,1,9,3,3,2,2,0,0,0,0,121,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Gile,0x23b,GileDesc,0x32,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Toras,0x23c,TorasDesc,0x33,0x41,0x0,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
Lang,0x23d,LangDesc,0x34,0x41,0x36,0x0,0,0x0,0,0,0,0,0,0,0,0,0,0,181,71,0,0,0,0,0,85,50,10,10,10,15,30,0x0,0x0,0x0,0x0,0x0,0x0,IsBoss,0x0,0x0,0x0,0x0,0x0,0x0,0x0
